trace,key_avg_ms,key_p95_ms,key_max_ms,key_excluding_max_avg_ms,key_excluding_max_p95_ms,mouse_avg_ms,mouse_p95_ms,wheel_avg_ms,wheel_p95_ms,render_avg_ms,render_p95_ms,render_max_ms,layout_get_width_avg_ms,layout_get_width_p95_ms,layout_visible_length_avg_ms,layout_visible_length_p95_ms,text_input_view_avg_ms,text_input_view_p95_ms
artisanal-2026-02-10T09-51-00.log,143.8193,249.2704,816.8970,139.9950,248.4750,11.2696,20.1329,0.0000,0.0000,135.1797,239.4701,794.3890,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
artisanal-2026-02-10T09-59-18.log,105.3827,236.6900,345.7160,105.0158,235.8255,0.3965,0.9083,0.0000,0.0000,98.2654,230.9483,335.9690,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
artisanal-2026-02-10T10-41-12.log,76.1199,134.2560,361.0810,75.6933,133.8749,22.2850,118.5740,0.0000,0.0000,74.7671,129.8670,354.2720,23.0537,42.7248,41.3422,71.5638,0.4717,1.0290
artisanal-2026-02-10T11-04-14.log,35.3254,50.1201,53.9570,35.1513,49.8744,1.3629,1.7100,0.0000,0.0000,32.7102,43.0000,89.2560,8.2643,11.3500,19.8962,26.5210,0.5647,1.0716
artisanal-2026-02-10T11-19-14.log,132.7373,147.2889,663.0740,127.4865,147.2490,33.8015,118.6360,0.0000,0.0000,121.8251,140.0878,632.7520,37.5196,44.0254,65.4514,78.1140,0.4578,0.8452
artisanal-2026-02-10T11-40-09.log,61.5993,93.2612,335.9830,60.4840,92.9887,17.8716,87.2910,0.0000,0.0000,62.6887,91.0475,325.0740,19.5079,30.1992,34.1825,49.1515,0.4691,0.8680
artisanal-2026-02-10T11-53-48.log,75.5776,115.0272,380.8980,74.4551,114.4992,0.8742,2.2302,0.0000,0.0000,71.9523,109.6400,370.5870,21.7918,34.6110,39.9338,62.2125,0.4841,0.9215
artisanal-2026-02-10T12-05-50.log,52.5475,85.9905,338.6050,51.7827,85.7925,18.5489,99.3580,0.0000,0.0000,60.5761,102.9535,329.9600,18.6981,32.5562,33.0568,55.5581,0.6101,1.3772
artisanal-2026-02-10T13-13-59.log,223.1833,554.6475,612.6960,28.4270,31.8326,17.6645,108.0076,0.0000,0.0000,106.0049,148.0000,578.8900,31.4689,44.7780,53.5147,79.2350,0.0456,0.0250
artisanal-2026-02-10T13-19-10.log,116.3965,141.0936,747.6940,113.4186,140.1018,40.9877,127.5798,0.0000,0.0000,106.4326,132.5800,713.9470,34.8407,44.5734,59.2766,76.2899,0.2767,0.8245
artisanal-2026-02-10T13-26-02.log,108.7270,123.1005,609.1810,103.4591,122.4472,31.5852,115.4090,0.0000,0.0000,98.4183,114.3138,585.2390,32.3081,39.4296,54.8291,66.3862,0.4609,0.8346
artisanal-2026-02-10T13-36-11.log,342.9423,522.2770,841.5450,318.0122,516.7727,67.8252,394.4768,0.0000,0.0000,342.1834,489.7072,831.3330,98.8962,131.7537,169.6381,238.0271,0.0305,0.0020
artisanal-2026-02-10T14-41-57.log,77.8179,94.5429,542.5730,77.0261,94.5307,22.8403,106.5665,66.9734,100.2302,74.6120,94.4790,516.3000,24.5086,30.6755,41.3739,51.4100,0.5380,1.1177
